id,id_tei,name,county,state,latitude,longitude,notes,place_type,alternate,Date,,,,,
,fjeff,Fort Jefferson,,Ohio,40.076052,84.648868,,placeName,,,,,,,
,flawr,Fort Lawrence,,Ohio,,,,placeName,,,,,,,
,fleav,Fort Leavenworth,,,,,,placeName,,,,,,,
,flebo,Fort LeBoeuf,,Pennsylvania,41.93343,79970051,,placeName,La Boeuf,,,,,,
,flitt,Fort Littleton,,Pennsylvania,40.00558,78.279347,A defunct military and civilian settlement near Fort Juniata Crossing,placeName,,,,,,,
,floram,Fort Loramier,,,,,,placeName,,,,,,,
,fmint,Fort M'Intosh,,Pennsylvania,40.69109,80.303463,"Beaver, PA",placeName,Fort McIntosh,,,,,,
,fmadi,Fort Madison,,Iowa,,,,placeName,,,,,,,
,fmass,Fort Massoe,,,,,,placeName,,,,,,,
,fmiam,Fort Miami,,Michigan,,,,placeName,,,,,,,
,fniag,Fort Niagara,,Canada,,,,placeName,,,,,,,
,fpitt1,Fort Pitt,,Pennsylvania,40.440569,80.009657,Built to replace Fort Duquesne in 1759,placeName,,,,,,,
,fputn,Fort Putnam,,New York,,,at West Point,placeName,,,,,,,
,fschy,Fort Schuyler,,New York,40.805302,73.791566,"A defunct military settlement in current-day Utica, NY.",placeName,"Fort Schuylar, Old Ft. Schuyler",,,,,,
,fsmith,Fort Smith,,,,,,,,,,,,,
